Caption,Tipo,Canais,Post time,Reach,Likes,Comments,Shares,Saves,Interações,Visitas ao perfil,Toques no site,botão de texto,Impressões,Na Pag Inicial,no perfil ,Hashtags,de Explorar,De Outra Pessoa,Seguidores
post56,Influencer,Carrossel,5/11/2021,12644,653,33,6,47,117,99,18,0,14862,9164,4161,0,1102,49,10
post57,Marca,Carrossel,5/12/2021,6131,88,2,4,11,35,21,14,0,7113,2449,4121,0,506,29,0
post58,Moda,Carrossel,5/12/2021,11433,264,5,5,20,115,103,12,0,12632,5329,4324,0,2247,49,18
post59,Moda,Carrossel,5/13/2021,6682,122,12,9,26,35,30,5,0,7668,2622,4533,0,383,42,8
post60,AA,Carrossel,5/13/2021,17208,712,19,35,118,284,246,38,0,20253,11748,5220,0,2121,161,28
post61,Moda,Carrossel,5/14/2021,20270,603,18,15,66,283,223,60,0,24115,15309,4753,0,3503,73,28
post62,Institucional,Carrossel,5/15/2021,9654,184,5,0,33,75,55,20,0,11763,6241,4469,0,904,56,8
post63,Influencer,Carrossel,5/17/2021,19066,1236,33,24,126,261,206,55,0,22267,15437,4047,0,2264,175,28
post64,Moda,Carrossel,5/17/2021,7122,113,5,2,18,35,28,7,0,8016,3556,3524,0,878,7,0
post65,Moda,Carrossel,5/18/2021,5653,95,4,5,14,33,27,6,0,6460,2924,3130,0,331,61,4
post66,Influencer,Carrossel,5/18/2021,5214,77,2,0,5,16,11,5,0,5944,2147,3366,0,419,6,0
post67,Moda,Carrossel,5/19/2021,9882,235,3,11,56,76,60,16,0,10904,3743,4049,0,2898,76,10
post68,Influencer,Foto,5/20/2021,6369,96,3,8,25,40,35,5,0,4834,2243,3626,0,855,42,6
post69,AA,Carrossel,5/21/2021,5926,65,4,3,14,30,22,8,0,6921,2599,3107,0,1191,13,2
post70,Influencer,Carrossel,5/21/2021,5653,73,3,0,8,33,31,2,0,6663,3314,3222,0,66,57,2
post71,Moda,Carrossel,5/22/2021,6070,117,0,2,16,35,29,6,0,7243,3611,3265,0,163,61,2
post72,Marca,Carrossel,5/23/2021,6774,105,6,2,26,34,24,10,0,7836,3399,3738,0,668,23,2
post73,Moda,Foto,5/23/2021,7023,113,0,6,30,55,47,8,0,7753,3715,3448,0,478,64,8
post74,Institucional,Carrossel,5/24/2021,3840,11,0,2,2,6,5,1,0,4697,2911,1432,0,341,6,0
post75,Moda,Carrossel,5/24/2021,9006,234,25,4,23,95,82,13,0,10202,5015,3403,0,1296,49,12
post76,Influencer,Carrossel,5/25/2021,6255,174,5,2,22,43,37,6,0,7216,2864,3377,0,939,26,2
post77,Influencer,Carrossel,5/25/2021,7062,171,10,1,15,43,37,6,0,8144,4230,2835,0,1067,12,2
post78,Institucional,Video,5/26/2021,3532,18,0,0,1,0,0,0,0,4179,1246,2710,0,213,1,0
post79,Influencer,Carrossel,5/26/2021,5282,104,5,3,17,33,26,7,0,6050,2735,2810,0,470,16,2
post80,Institucional,Carrossel,5/27/2021,5635,49,0,5,1,9,8,1,0,6499,2558,2880,0,1048,11,6
post81,Moda,Carrossel,5/28/2021,5558,55,0,1,10,16,14,2,0,6485,1883,3986,0,539,69,6
post82,Marca,Foto,5/29/2021,9273,164,21,14,50,120,91,29,0,10314,4953,4488,0,456,52,8
post83,Marca,Foto,5/29/2021,13959,379,2,20,63,151,130,21,0,16184,9566,3727,0,1716,139,16
post84,Institucional,Video,5/30/2021,4785,21,0,3,3,20,17,3,0,5619,2026,2769,0,811,11,4
post85,Moda,Foto,5/31/2021,4616,71,2,0,15,37,27,10,0,5208,2089,2900,0,181,20,2
post86,Institucional,Video,5/31/2021,4891,58,0,6,3,24,18,6,0,5363,2059,2734,0,500,7,2
post87,Institucional,Video,6/1/2021,3455,12,0,2,0,7,5,2,0,4115,1377,2603,0,128,3,0
post88,Influencer,Carrossel,6/1/2021,4443,89,2,1,26,29,22,7,0,5302,2077,2635,0,571,16,0
post89,Influencer,Reels,6/1/2021,7709,173,4,2,11,0,0,0,0,7709,0,0,0,0,0,0
post90,Institucional,Video,6/2/2021,3418,12,3,0,0,7,7,0,0,4273,1482,2701,0,77,6,2
post91,Marca,Carrossel,6/2/2021,3847,43,2,1,5,13,11,2,0,4796,1478,2866,0,386,61,0
post92,Institucional,Video,6/2/2021,4816,17,0,0,2,23,15,8,0,5871,1635,3797,0,425,4,2
post93,AA,Carrossel,6/2/2021,17236,558,15,19,95,168,139,29,0,19597,9781,4664,0,4474,114,14
post94,Institucional,Video,6/2/2021,14760,342,42,5,31,404,295,109,0,16613,11041,4283,0,886,403,6
post95,Institucional,Video,6/3/2021,4120,14,2,0,0,7,5,2,0,4719,1535,3008,0,115,5,0
post96,Moda,Carrossel,6/3/2021,7093,105,5,0,14,31,26,5,0,8397,3838,3123,0,1368,35,2
post97,Influencer,Carrossel,6/4/2021,5971,79,0,2,14,39,33,6,0,7298,2666,3388,0,1186,51,4
post98,Institucional,Carrossel,6/4/2021,7169,84,2,0,6,41,37,4,0,8500,3691,3971,0,829,3,0
post99,Marca,Foto,6/5/2021,10406,213,4,4,34,62,49,13,0,11648,6114,4272,0,926,86,4
post100,Influencer,Carrossel,6/6/2021,19138,691,5,9,36,273,227,46,0,22654,13179,4571,0,4749,89,30
post101,Moda,Carrossel,6/7/2021,6320,130,4,15,48,70,54,16,0,7612,4431,2279,0,836,48,6
post102,Moda,Carrossel,6/8/2021,11714,294,11,7,42,127,100,27,0,14123,8091,4177,0,1645,56,14
post103,Influencer,Carrossel,6/8/2021,6585,163,7,3,10,61,53,8,0,7886,3122,3870,0,722,51,2
post104,Moda,Carrossel,6/9/2021,7475,160,0,5,30,44,39,5,0,9184,3711,4495,0,930,43,4
post105,Moda,Carrossel,6/10/2021,13196,464,14,12,69,171,142,29,0,16089,6301,4685,0,4978,73,22
post106,AA,Carrossel,6/10/2021,20228,1499,54,43,120,277,236,41,0,23521,12098,3928,0,7105,169,36
post107,Influencer,Carrossel,6/11/2021,11985,228,7,6,41,148,117,31,0,14328,6887,3621,0,3541,21,6
